shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
VNYiS,34.070727,-118.464907,101,
VNYiS,34.059355,-118.455027,102,
VNYiS,34.054162,-118.450744,103,
VNYiS,34.053274,-118.450119,104,
VNYiS,34.052151,-118.449569,105,
VNYiS,34.050869,-118.449156,106,
VNYiS,34.049777,-118.448732,107,
VNYiS,34.048741,-118.448126,108,
VNYiS,34.047876,-118.44745,109,
VNYiS,34.039572,-118.440283,110,
VNYiS,34.038563,-118.439502,111,
VNYiS,34.037263,-118.438801,112,
VNYiS,34.035747,-118.438097,113,
VNYiS,34.034730,-118.437461,114,
VNYiS,34.033644,-118.436455,115,
VNYiS,34.032770,-118.435277,116,
VNYiS,34.032038,-118.434284,117,
VNYiS,34.031161,-118.433463,118,
VNYiS,34.029501,-118.432149,119,
VNYiS,34.016459,-118.421889,120,
VNYiS,34.009745,-118.416568,121,
VNYiS,33.998830,-118.407918,122,
VNYiS,33.989116,-118.400197,123,
VNYiS,33.980581,-118.393418,124,
VNYiS,33.979430,-118.39271,125,
VNYiS,33.978619,-118.391805,126,
VNYiS,33.978047,-118.390956,127,
VNYiS,33.977533,-118.390182,128,
VNYiS,33.976919,-118.389805,129,
VNYiS,33.976163,-118.3896,130,
VNYiS,33.975193,-118.389578,131,
VNYiS,33.975026,-118.389723,132,
VNYiS,33.975053,-118.393293,133,
VNYiS,33.975015,-118.393792,134,
VNYiS,33.974984,-118.394048,135,
VNYiS,33.974839,-118.39416,136,
VNYiS,33.973459,-118.394539,137,
VNYiS,33.971856,-118.394993,138,
VNYiS,33.967900,-118.396001,139,
VNYiS,33.967157,-118.396127,140,
VNYiS,33.965431,-118.396254,141,
VNYiS,33.963661,-118.396273,142,
VNYiS,33.960095,-118.396335,143,
VNYiS,33.959708,-118.396339,144,
VNYiS,33.953152,-118.396327,145,
VNYiS,33.952795,-118.396379,146,
VNYiS,33.952435,-118.396477,147,
VNYiS,33.951995,-118.396515,148,
